ID,Score,Time,result
299,65,44,C
300,89,60,B
301,62,27,C+
302,58,53,D
303,67,60,C-
304,92,51,B
305,87,45,B+
306,61,59,D+
307,73,32,B
308,77,30,B+
309,63,55,D+
310,64,44,C-
311,91,45,B+
312,52,60,D-
313,88,32,A
314,72,28,B
315,66,27,B-
316,94,30,A+
317,99,59,B+
318,83,55,B-
319,56,30,C
320,73,48,C
321,94,43,A-
322,66,57,C-
323,78,34,B+
324,83,32,A-
325,64,58,D+
326,81,28,A-
327,89,31,A
328,88,51,B
329,60,57,D+
330,54,45,D
331,51,32,C-
332,63,33,C+
333,81,60,B-
334,76,37,B
335,84,57,B-
336,77,42,B-
337,99,45,A-
338,88,43,B+
339,70,28,B
340,63,43,C-
341,70,56,C
342,87,46,B
343,54,39,D
344,57,24,C
345,56,30,C
346,65,56,C-
347,98,40,A
348,61,34,C+
349,95,59,B+
350,91,50,B
351,60,26,C+
352,76,53,C+
353,69,37,C+
354,99,25,A+
355,63,50,D+
356,70,30,B
357,86,27,A
358,53,58,D-
359,85,54,B
360,50,37,D
361,59,58,D
362,63,32,C+
363,92,37,A-
364,88,27,A
365,51,35,C-
366,56,48,D
367,75,34,B+
368,74,59,C
369,69,51,C-
370,78,40,B
371,99,48,B+
372,56,49,D
373,95,48,B+
374,87,42,B+
375,97,24,A+
376,95,39,A
377,91,31,A
378,76,50,C+
379,94,49,B+
380,75,53,C+
381,99,46,B+
382,53,40,D
383,89,28,A
384,96,60,B+
385,53,43,D
386,72,40,B-
387,88,35,A
388,84,33,A-
389,52,41,D
390,80,52,B-
391,82,43,B
392,95,24,A+
393,64,55,D+
394,84,60,B-
395,74,28,B
396,71,60,C
397,82,47,B-
398,51,47,D-
399,97,26,A+
400,76,29,B+
401,87,53,B
402,98,57,B+
403,94,50,B+
404,84,53,B-
405,94,42,A-
406,67,32,B-
407,83,30,A-
408,61,29,C+
409,53,42,D
410,68,38,C+
411,56,54,D
412,66,34,B-
413,77,37,B
414,58,48,D
415,55,50,D
416,66,49,C-
417,54,34,C-
418,100,33,A+
419,88,29,A
420,74,32,B
421,69,24,B-
422,55,45,D+
423,79,34,B+
424,62,49,D+
425,76,26,B+
426,75,25,B+
427,62,49,D+
428,93,29,A+
429,84,27,A-
430,95,31,A+
431,87,28,A
432,93,48,B+
433,98,46,B+
434,74,33,B
435,51,53,D-
436,54,51,D-
437,58,54,D
438,76,46,C+
439,77,56,C+
440,83,30,A-
441,89,27,A
442,88,38,A-
443,93,57,B+
444,87,50,B
445,72,31,B
446,64,43,C-
447,94,59,B+
448,96,26,A+
449,100,59,B+
450,63,59,D+
451,75,44,B-
452,99,39,A
453,57,32,C
454,68,54,C-
455,72,24,B
456,77,31,B+
457,53,60,D-
458,97,56,B+
459,60,27,C+
460,95,43,A-
461,71,29,B
462,92,35,A
463,99,54,B+
464,51,52,D-
465,91,27,A
466,62,30,C+
467,56,42,D+
468,59,43,D+
469,91,44,B+
470,88,31,A
471,57,35,C
472,96,34,A+
473,60,56,D+
474,73,28,B
475,97,57,B+
476,84,36,B+
477,99,47,B+
478,87,42,B+
479,94,28,A+
480,76,31,B+
481,73,52,C
482,66,39,C+
483,72,39,B-
484,63,40,C
485,71,29,B
486,79,39,B
487,78,33,B+
488,99,26,A+
489,55,39,D+
490,50,55,D-
491,71,41,C+
492,86,57,B
493,80,30,A-
494,96,29,A+
495,67,32,B-
496,91,55,B
497,54,56,D-
498,81,31,A-
499,70,60,C
500,78,60,C+
501,59,60,D
502,100,30,A+
503,60,25,C+
504,53,33,C-
505,69,51,C-
506,77,44,B-
507,95,56,B+
508,88,40,A-
509,51,40,D
510,91,48,B
511,52,28,C-
512,92,47,B
513,59,46,D
514,90,26,A
515,57,36,D+
516,97,26,A+
517,61,47,D+
518,72,27,B
519,69,28,B-
520,51,39,D
521,61,49,D+
522,75,31,B+
523,89,43,B+
524,73,35,B
525,50,29,C-
526,68,56,C-
527,68,55,C-
528,71,38,B-
529,87,37,A-
530,83,25,A-
531,84,60,B-
532,56,26,C
533,73,44,C+
534,58,53,D
535,81,44,B
536,91,56,B
537,65,27,B-
538,96,56,B+
539,92,36,A-
540,65,54,C-
541,81,60,B-
542,50,29,C-
543,59,52,D
544,94,57,B+
545,78,30,B+
546,90,58,B
547,90,30,A
548,94,43,A-
549,90,49,B
550,88,40,A-
551,75,38,B
552,58,56,D
553,54,54,D-
554,96,45,A-
555,94,48,B+
556,85,43,B+
557,89,37,A-
558,72,36,B-
559,55,42,D+
560,99,36,A
561,92,45,B+
562,63,57,D+
563,69,28,B-
564,58,51,D
565,60,57,D+
566,93,49,B+
567,85,57,B
568,70,27,B
569,96,25,A+
570,52,42,D
571,88,39,A-
572,65,44,C
573,76,29,B+
574,70,47,C
575,65,52,C-
576,93,38,A
577,100,48,B+
578,95,30,A+
579,100,30,A+
580,71,25,B
581,66,52,C-
582,52,33,C-
583,85,58,B
584,51,38,D
585,72,38,B-
586,58,58,D
587,79,46,C+
588,71,24,B
589,96,53,B+
590,100,58,B+
591,66,56,C-
592,77,46,C+
593,64,53,D+
594,80,58,B-
595,62,47,D+
596,82,35,A-
597,64,35,C+
598,65,52,C-
599,73,57,C
600,89,45,B+
601,55,38,D+
602,87,24,A
603,84,52,B-
604,58,34,C
605,71,59,C
606,74,41,C+
607,71,51,C
608,57,54,D
609,69,25,B-
610,59,24,C
611,51,56,D-
612,67,58,C-
613,82,55,B-
614,89,36,A-
615,92,46,B
616,70,55,C
617,60,55,D+
618,94,52,B+
619,93,56,B+
620,83,35,A-
621,79,60,C+
622,68,53,C-
623,87,35,A
624,96,43,A-
625,83,25,A-
626,93,40,A
627,51,34,C-
628,95,29,A+
629,52,33,C-
630,72,31,B
631,96,35,A+
632,70,30,B
633,54,33,C-
634,70,35,B
635,77,39,B
636,82,25,A-
637,51,29,C-
638,75,27,B+
639,85,26,A
640,59,28,C
641,85,38,A-
642,77,32,B+
643,71,56,C
644,80,56,B-
645,95,26,A+
646,85,46,B
647,60,34,C+
648,92,46,B
649,65,38,C+
650,87,34,A
651,75,29,B+
652,78,31,B+
653,61,38,C
654,99,37,A
655,70,56,C
656,67,30,B-
657,69,40,C+
658,66,47,C-
659,100,39,A
660,53,55,D-
661,73,55,C
662,90,52,B
663,78,30,B+
664,94,25,A+
665,64,60,D+
666,98,50,B+
667,68,52,C-
668,91,39,A-
669,91,37,A-
670,82,43,B
671,90,28,A
672,55,55,D
673,63,26,C+
674,65,57,C-
675,93,58,B+
676,95,29,A+
677,94,41,A-
678,87,52,B
679,66,58,C-
680,86,54,B
681,84,24,A-
682,85,34,A
683,56,55,D
684,55,38,D+
685,71,33,B
686,94,35,A+
687,95,50,B+
688,99,34,A+
689,57,27,C
690,100,52,B+
691,81,43,B
692,69,58,C-
693,64,40,C
694,81,37,B+
695,92,42,B+
696,86,35,A
697,55,25,C
698,81,26,A-
699,86,28,A
700,89,41,B+
701,55,54,D
702,53,35,C-
703,77,33,B+
704,84,52,B-
705,94,33,A+
706,93,55,B+
707,63,46,D+
708,90,53,B
709,74,48,C
710,53,41,D
711,75,55,C+
712,98,50,B+
713,58,28,C
714,94,46,B+
715,75,42,B-
716,57,35,C
717,70,24,B
718,99,34,A+
719,98,41,A-
720,70,58,C
721,53,50,D-
722,77,37,B
723,100,40,A
724,71,57,C
725,96,25,A+
726,74,48,C
727,70,50,C
728,51,37,D
729,82,30,A-
730,89,60,B
731,65,42,C
732,69,27,B-
733,57,36,D+
734,76,49,C+
735,79,46,C+
736,63,28,C+
737,90,52,B
738,98,30,A+
739,61,40,C
740,66,35,B-
741,86,50,B
742,87,50,B
743,52,54,D-
744,81,45,B
745,61,56,D+
746,97,52,B+
747,51,30,C-
748,59,45,D+
749,69,43,C
750,57,48,D
751,72,51,C
752,50,44,D
753,95,44,A-
754,63,58,D+
755,67,43,C
756,65,40,C+
757,62,54,D+
758,59,55,D
759,84,42,B
760,62,49,D+
761,53,31,C-
762,68,52,C-
763,52,33,C-
764,90,24,A
765,66,44,C
766,51,58,D-
767,99,52,B+
768,82,57,B-
769,88,59,B
770,91,42,B+
771,79,29,B+
772,83,37,B+
773,68,49,C-
774,72,25,B
775,56,26,C
776,63,53,D+
777,64,54,D+
778,83,30,A-
779,91,40,A-
780,67,46,C-
781,94,27,A+
782,65,42,C
783,55,40,D+
784,83,34,A-
785,69,38,C+
786,61,51,D+
787,50,33,C-
788,95,25,A+
789,77,50,C+
790,51,30,C-
791,54,42,D
792,76,31,B+
793,54,57,D-
794,94,30,A+
795,74,37,B-
796,85,34,A
797,87,37,A-
798,75,60,C+
799,97,38,A
800,99,59,B+
801,87,59,B
802,67,27,B-
803,53,53,D-
804,97,44,A-
805,75,57,C+
806,100,32,A+
807,86,29,A
808,96,42,A-
809,80,38,B+
810,90,46,B
811,79,41,B-
812,64,58,D+
813,61,53,D+
814,89,31,A
815,62,33,C+
816,80,51,B-
817,96,47,B+
818,64,58,D+
819,93,24,A+
820,93,45,A-
821,68,25,B-
822,84,36,B+
823,66,48,C-
824,83,56,B-
825,63,40,C
826,52,43,D
827,97,27,A+
828,83,32,A-
829,96,36,A
830,88,46,B
831,52,59,D-
832,82,25,A-
833,52,55,D-
834,51,29,C-
835,80,56,B-
836,92,24,A
837,74,32,B
838,63,32,C+
839,65,41,C
840,80,59,B-
841,89,53,B
842,82,54,B-
843,85,52,B
844,55,47,D
845,96,59,B+
846,87,58,B
847,67,25,B-
848,67,51,C-
849,59,44,D+
850,85,29,A
851,63,60,D+
852,74,46,C
853,86,57,B
854,60,24,C+
855,92,53,B
856,96,35,A+
857,93,38,A
858,91,59,B
859,91,48,B
860,61,58,D+
861,95,34,A+
862,81,32,A-
863,96,52,B+
864,84,47,B-
865,58,39,D+
866,53,44,D
867,87,42,B+
868,59,43,D+
869,88,35,A
870,89,37,A-
871,71,26,B
872,90,40,A-
873,87,30,A
874,89,56,B
875,88,40,A-
876,98,30,A+
877,77,34,B+
878,79,41,B-
879,72,53,C
880,54,60,D-
881,63,37,C
882,61,48,D+
883,100,30,A+
884,82,59,B-
885,76,36,B
886,55,60,D
887,75,29,B+
888,77,43,B-
889,84,45,B
890,87,49,B
891,99,30,A+
892,64,28,C+
893,86,34,A
894,91,35,A
895,89,48,B
896,98,45,A-
897,59,52,D
898,99,51,B+
899,94,35,A+
900,55,41,D+
901,65,54,C-
902,68,27,B-
903,93,31,A+
904,92,28,A
905,88,30,A
906,98,42,A-
907,63,39,C
908,97,42,A-
909,94,46,B+
910,76,32,B+
911,67,46,C-
912,76,45,B-
913,88,37,A-
914,100,27,A+
915,51,60,D-
916,93,35,A+
917,72,29,B
918,57,34,C
919,66,39,C+
920,66,47,C-
921,98,27,A+
922,70,37,B-
923,64,41,C-
924,87,43,B+
925,100,25,A+
926,61,29,C+
927,78,27,B+
928,61,40,C
929,77,41,B-
930,55,51,D
931,52,35,C-
932,57,50,D
933,81,25,A-
934,90,52,B
935,72,60,C
936,77,43,B-
937,68,30,B-
938,65,28,B-
939,96,47,B+
940,53,41,D
941,50,54,D-
942,80,48,B-
943,60,55,D+
944,99,32,A+
945,94,49,B+
946,94,49,B+
947,79,36,B
948,62,39,C
949,75,37,B
950,86,35,A
951,59,58,D
952,74,51,C
953,92,26,A
954,89,57,B
955,69,37,C+
956,76,26,B+
957,68,41,C
958,52,24,C-
959,85,35,A
960,64,24,C+
961,87,46,B
962,89,38,A-
963,81,43,B
964,79,38,B
965,69,43,C
966,86,57,B
967,83,60,B-
968,87,25,A
969,51,32,C-
970,66,40,C+
971,69,60,C-
972,62,28,C+
973,62,46,D+
974,86,26,A
975,89,42,B+
976,80,58,B-
977,89,53,B
978,79,35,B+
979,95,38,A
980,83,36,B+
981,70,28,B
982,61,45,C-
983,65,44,C
984,73,57,C
985,60,55,D+
986,97,54,B+
987,70,45,C+
988,55,60,D
989,97,59,B+
990,62,52,D+
991,54,26,C-
992,76,54,C+
993,80,26,A-
994,51,26,C-
995,63,27,C+
996,52,30,C-
997,77,31,B+
998,85,53,B
999,67,33,B-
1000,93,42,A-
1001,66,56,C-
1002,75,44,B-
1003,61,31,C+
1004,51,47,D-
1005,99,44,A-
1006,64,53,D+
1007,73,40,B-
1008,71,31,B
1009,82,44,B
1010,73,50,C
1011,53,57,D-
1012,62,33,C+
1013,100,33,A+
1014,92,41,B+
1015,92,57,B
1016,89,37,A-
1017,65,43,C
1018,58,47,D
1019,86,26,A
1020,57,50,D
1021,99,43,A-
1022,59,42,D+
1023,95,30,A+
1024,67,42,C
1025,55,29,C
1026,76,48,C+
1027,50,58,D-
1028,52,35,C-
1029,51,50,D-
1030,59,24,C
1031,53,43,D
1032,94,51,B+
1033,88,27,A
1034,75,42,B-
1035,60,28,C+
1036,52,46,D-
1037,58,33,C
1038,51,55,D-
1039,65,55,C-
1040,92,29,A
1041,60,43,C-
1042,93,33,A+
1043,96,44,A-
1044,78,37,B
1045,84,47,B-
1046,73,50,C
1047,50,33,C-
1048,66,30,B-
1049,97,42,A-
1050,71,25,B
1051,98,32,A+
1052,92,42,B+
1053,59,26,C
1054,52,34,C-
1055,51,30,C-
1056,60,55,D+
1057,50,49,D-
1058,95,34,A+
1059,67,28,B-
1060,97,41,A-
1061,69,59,C-
1062,57,25,C
1063,57,54,D
1064,74,55,C
1065,53,29,C-
1066,62,37,C
1067,97,46,B+
1068,92,36,A-
1069,66,29,B-
1070,58,47,D
1071,70,32,B
1072,98,45,A-
1073,82,47,B-
1074,93,59,B+
1075,71,36,B-
1076,96,37,A
1077,60,29,C+
1078,82,27,A-
1079,90,29,A
1080,88,49,B
1081,69,38,C+
1082,86,54,B
1083,66,58,C-
1084,75,28,B+
1085,95,37,A
1086,86,29,A
1087,89,54,B
1088,89,36,A-
1089,85,46,B
1090,57,32,C
1091,77,28,B+
1092,51,26,C-
1093,88,25,A
1094,82,51,B-
1095,99,34,A+
1096,80,39,B+
1097,53,45,D
1098,97,42,A-
1099,74,49,C
1100,73,38,B-
1101,58,38,D+
1102,63,60,D+
1103,96,44,A-
1104,60,37,C
1105,73,33,B
1106,95,28,A+
1107,82,43,B
1108,57,60,D
1109,70,27,B
1110,97,55,B+
1111,67,52,C-
1112,96,60,B+
1113,83,53,B-
1114,52,36,D
1115,77,30,B+
1116,98,37,A
1117,88,51,B
1118,100,41,A-
1119,70,42,C+
1120,53,60,D-
1121,80,33,A-
1122,73,41,C+
1123,60,24,C+
1124,100,31,A+
1125,82,39,B+
1126,52,36,D
1127,66,47,C-
1128,68,38,C+
1129,58,59,D
1130,98,30,A+
1131,85,48,B
1132,95,54,B+
1133,56,38,D+
1134,83,41,B
1135,74,41,C+
1136,61,53,D+
1137,60,38,C
1138,63,33,C+
1139,89,25,A
1140,58,50,D
1141,94,42,A-
1142,59,36,D+
1143,86,50,B
1144,75,24,B+
1145,67,42,C
1146,52,28,C-
1147,73,24,B
1148,92,43,B+
1149,92,25,A
1150,99,48,B+
1151,98,51,B+
1152,86,46,B
1153,85,26,A
1154,65,31,B-
1155,60,53,D+
1156,67,45,C
1157,66,48,C-
1158,52,44,D
1159,93,56,B+
1160,64,31,C+
1161,57,60,D
1162,54,32,C-
1163,62,38,C
1164,62,48,D+
1165,84,24,A-
1166,70,26,B
1167,91,53,B
1168,91,43,B+
1169,94,46,B+
1170,73,30,B
1171,94,60,B+
1172,73,31,B
1173,97,52,B+
1174,83,33,A-
1175,85,24,A
1176,72,48,C
1177,61,46,D+
1178,56,38,D+
1179,80,31,A-
1180,96,24,A+
1181,84,59,B-
1182,77,44,B-
1183,60,37,C
1184,79,39,B
1185,78,35,B+
1186,90,34,A
1187,84,32,A-
1188,71,49,C
1189,90,31,A
1190,100,34,A+
1191,66,33,B-
1192,76,52,C+
1193,75,55,C+
1194,65,25,B-
1195,57,51,D
1196,50,44,D
1197,92,27,A
1198,58,39,D+
1199,77,49,C+
1200,61,27,C+
1201,100,50,B+
1202,100,24,A+
1203,67,29,B-
1204,79,36,B
1205,95,49,B+
1206,71,52,C
1207,71,58,C
1208,85,28,A
1209,74,51,C
1210,82,24,A-
1211,97,45,A-
1212,51,48,D-
1213,69,57,C-
1214,93,38,A
1215,71,45,C+
1216,54,28,C-
1217,90,44,B+
1218,77,51,C+
1219,91,41,B+
1220,59,29,C
1221,89,24,A
1222,99,43,A-
1223,89,35,A
1224,100,40,A
1225,89,25,A
1226,91,29,A
1227,86,53,B
1228,84,40,B+
1229,74,42,C+
1230,97,31,A+
1231,86,30,A
1232,93,42,A-
1233,74,56,C
1234,78,58,C+
1235,83,35,A-
1236,94,51,B+
1237,77,54,C+
1238,84,43,B
1239,93,31,A+
1240,70,51,C
1241,56,59,D
1242,100,56,B+
1243,95,34,A+
1244,67,25,B-
1245,68,40,C+
1246,56,42,D+
1247,70,29,B
1248,64,37,C
1249,58,43,D+
1250,93,35,A+
1251,98,45,A-
1252,63,50,D+
1253,75,56,C+
1254,96,32,A+
1255,80,46,B-
1256,58,46,D
1257,53,54,D-
1258,56,59,D
1259,93,58,B+
1260,97,43,A-
1261,54,42,D
1262,63,50,D+
1263,94,36,A
1264,51,29,C-
1265,55,60,D
1266,85,52,B
1267,69,38,C+
1268,52,40,D
1269,85,50,B
1270,71,54,C
1271,60,59,D+
1272,83,52,B-
1273,62,33,C+
1274,63,51,D+
1275,67,57,C-
1276,88,26,A
1277,82,27,A-
1278,91,36,A-
1279,63,51,D+
1280,76,39,B
1281,95,28,A+
1282,96,27,A+
1283,59,56,D
1284,78,31,B+
1285,69,32,B-
1286,86,26,A
1287,66,26,B-
1288,90,60,B
1289,99,53,B+
1290,63,40,C
1291,95,47,B+
1292,81,54,B-
1293,86,36,A-
1294,82,39,B+
1295,89,43,B+
1296,58,28,C
1297,84,41,B
1298,62,42,C-
1299,51,31,C-
1300,97,53,B+
1301,56,43,D+
1302,72,27,B
1303,90,27,A
1304,73,55,C
1305,54,50,D-
1306,53,50,D-
1307,89,44,B+
1308,57,52,D
1309,72,34,B
1310,80,26,A-
1311,80,48,B-
1312,55,27,C
1313,84,56,B-
1314,54,51,D-
1315,50,58,D-
1316,78,55,C+
1317,85,58,B
1318,61,24,C+
1319,74,49,C
1320,72,35,B
1321,55,37,D+
1322,73,42,C+
1323,92,29,A
1324,99,33,A+
1325,60,49,D+
1326,81,26,A-
1327,50,55,D-
1328,72,29,B
1329,86,40,A-
1330,73,36,B-
1331,54,40,D
1332,51,36,D
1333,71,24,B
1334,92,41,B+
1335,66,50,C-
1336,87,49,B
1337,62,36,C
1338,55,58,D
1339,55,45,D+
1340,76,30,B+
1341,86,47,B
1342,87,60,B
1343,95,49,B+
1344,79,33,B+
1345,62,55,D+
1346,77,44,B-
1347,50,59,D-
1348,78,46,C+
1349,89,60,B
1350,59,46,D
1351,73,25,B
1352,82,24,A-
1353,72,45,C+
1354,57,46,D
1355,67,53,C-
1356,75,30,B+
1357,70,59,C
1358,53,41,D
1359,78,60,C+
1360,60,37,C
1361,83,57,B-
1362,55,53,D
1363,53,41,D
1364,57,24,C
1365,76,26,B+
1366,54,55,D-
1367,67,56,C-
1368,67,33,B-
1369,96,49,B+
1370,74,34,B
1371,59,38,D+
1372,59,53,D
1373,72,31,B
1374,52,42,D
1375,81,41,B
1376,98,47,B+
1377,54,42,D
1378,58,45,D+
1379,95,58,B+
1380,88,42,B+
1381,62,52,D+
1382,55,49,D
1383,81,35,A-
1384,96,57,B+
1385,94,59,B+
1386,72,29,B
1387,52,24,C-
1388,95,55,B+
1389,60,33,C+
1390,80,53,B-
1391,78,54,C+
1392,52,47,D-
1393,51,49,D-
1394,66,42,C
1395,99,51,B+
1396,68,60,C-
1397,84,49,B-
1398,70,39,B-
1399,64,27,C+
1400,81,56,B-
1401,86,59,B
1402,99,36,A
1403,90,30,A
1404,86,53,B
1405,81,30,A-
1406,100,41,A-
1407,70,42,C+
1408,57,54,D
1409,53,58,D-
1410,56,28,C
1411,100,50,B+
1412,69,40,C+
1413,81,44,B
1414,85,34,A
1415,78,41,B-
1416,88,49,B
1417,53,44,D
1418,88,54,B
1419,52,54,D-
1420,95,27,A+
1421,83,39,B+
1422,56,44,D+
1423,91,44,B+
1424,67,48,C-
1425,82,25,A-
1426,69,53,C-
1427,62,33,C+
1428,67,42,C
1429,85,53,B
1430,83,39,B+
1431,65,41,C
1432,90,54,B
1433,97,36,A
1434,61,57,D+
1435,78,47,C+
1436,79,41,B-
1437,87,43,B+
1438,65,49,C-
1439,82,29,A-
1440,54,45,D
1441,57,53,D
1442,86,40,A-
1443,50,54,D-
1444,53,29,C-
1445,68,46,C-
1446,58,38,D+
1447,67,37,C+
1448,99,34,A+
1449,60,47,D+
1450,68,45,C
1451,64,57,D+
1452,95,42,A-
1453,95,41,A-
1454,74,54,C
1455,50,37,D
1456,62,42,C-
1457,81,31,A-
1458,96,48,B+
1459,73,26,B
1460,66,48,C-
1461,96,41,A-
1462,100,26,A+
1463,69,41,C
1464,66,38,C+
1465,63,29,C+
1466,99,46,B+
1467,79,52,C+
1468,53,53,D-
1469,83,32,A-
1470,77,55,C+
1471,64,33,C+
1472,78,50,C+
1473,92,48,B
1474,86,31,A
1475,76,44,B-
1476,83,50,B-
1477,66,55,C-
1478,79,41,B-
1479,87,46,B
1480,89,45,B+
1481,81,36,B+
1482,70,33,B
1483,100,40,A
1484,56,40,D+
1485,84,30,A-
1486,66,46,C-
1487,92,32,A
1488,73,57,C
1489,73,43,C+
1490,76,36,B
1491,76,53,C+
1492,90,31,A
1493,90,44,B+
1494,55,44,D+
1495,88,47,B
1496,94,33,A+
1497,69,50,C-
1498,86,55,B
1499,91,52,B
1500,74,24,B
1501,53,32,C-
1502,76,28,B+
1503,91,25,A
1504,74,53,C
1505,57,50,D
1506,70,56,C
1507,99,37,A
1508,55,32,C
1509,91,24,A
1510,99,56,B+
1511,56,59,D
1512,75,43,B-
1513,69,55,C-
1514,54,36,D
1515,86,40,A-
1516,74,26,B
1517,94,25,A+
1518,67,52,C-
1519,60,31,C+
1520,100,40,A
1521,54,31,C-
1522,69,53,C-
1523,83,52,B-
1524,60,32,C+
1525,79,49,C+
1526,89,42,B+
1527,93,32,A+
1528,57,46,D
1529,69,33,B-
1530,88,41,B+
1531,61,48,D+
1532,70,33,B
1533,90,38,A-
1534,95,38,A
1535,95,58,B+
1536,83,47,B-
1537,52,32,C-
1538,56,58,D
1539,76,24,B+
1540,67,57,C-
1541,68,56,C-
1542,78,60,C+
1543,60,35,C+
1544,99,43,A-
1545,53,33,C-
1546,71,54,C
1547,94,46,B+
1548,87,40,A-
1549,82,28,A-
1550,100,35,A+
1551,72,34,B
1552,52,45,D
1553,62,45,C-
1554,53,35,C-
